,strategy,benchmark
final_nav,1.0925759323200253,0.9566542517674818
annual_return,0.04784972682655016,-0.02821511734932851
annual_volatility,0.28126226343653726,0.19759149798371564
sharpe_ratio,0.17012494403589534,-0.1427951993746909
max_drawdown,-0.270977636919588,-0.28541318598189525
excess_return,0.07606484417587867,0.0
alpha_return,0.07775929381977972,0.0
beta_return,-0.02990956699322956,-0.02821511734932851
alpha,0.10060819619692363,0.0
beta,1.0600546729231086,1.0
